,dataset,model,features,precision,recall,f1,accuracy,params
0,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6738421395955643,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
1,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6719160104986877,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
2,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6749060478478279,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
3,NL 1,ElasticNet,"[ True False  True  True  True  True  True  True  True  True  True  True
  True  True False  True  True False  True  True]",0.5294117647058824,0.9,0.6666666666666667,0.638,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
4,NL 1,ElasticNet,"[ True False  True  True  True  True  True  True  True  True  True  True
  True  True False  True  True False  True  True]",0.5294117647058824,0.9,0.6666666666666667,0.638,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
5,NL 1,ElasticNet,"[ True False  True  True  True  True  True  True  True  True  True  True
  True  True False  True  True False  True  True]",0.5294117647058824,0.9,0.6666666666666667,0.638,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
6,NL 1,RF,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True False False False False False]",0.7142857142857143,1.0,0.8333333333333333,0.789,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
7,NL 1,RF,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True False False False False False]",0.7142857142857143,1.0,0.8333333333333333,0.789,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
8,NL 1,RF,"[ True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True False False False False False]",0.7142857142857143,1.0,0.8333333333333333,0.789,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
9,NL 1,SQ,[1 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0],1.0,1.0,1.0,0.819,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
10,NL 1,SQ,[1 1 2 1 1 1 1 1 1 2 1 0 0 0 0 0 0 0 0 0],0.9090909090909091,1.0,0.9523809523809523,0.815,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
11,NL 1,SQ,[2 2 1 2 1 1 1 1 2 2 0 0 0 0 0 0 0 0 0 0],1.0,1.0,1.0,0.812,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
12,NL 2,FRI,[1 2 0 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],1.0,0.9285714285714286,0.962962962962963,0.795379198632367,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
13,NL 2,FRI,[1 2 0 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],1.0,0.9285714285714286,0.962962962962963,0.795379198632367,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
14,NL 2,FRI,[1 2 0 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],1.0,0.9285714285714286,0.962962962962963,0.795379198632367,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
15,NL 2,ElasticNet,"[ True  True False  True False False False  True False  True False False
  True False False False False False False False]",1.0,0.42857142857142855,0.6,0.795,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
16,NL 2,ElasticNet,"[ True  True False  True False False False  True False  True False False
  True False False False False False False False]",1.0,0.42857142857142855,0.6,0.795,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
17,NL 2,ElasticNet,"[ True  True False  True False False False  True False  True False False
  True False False False False False False False]",1.0,0.42857142857142855,0.6,0.795,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
18,NL 2,RF,"[ True  True  True  True  True  True False False False  True False False
 False False False  True False False False False]",0.875,0.5,0.6363636363636364,0.891,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
19,NL 2,RF,"[ True  True  True  True  True  True False False False  True False False
 False False False  True False False False False]",0.875,0.5,0.6363636363636364,0.891,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
20,NL 2,RF,"[ True  True  True  True  True  True False False False  True False False
 False False False  True False False False False]",0.875,0.5,0.6363636363636364,0.891,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
21,NL 2,SQ,[2 2 2 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],1.0,1.0,1.0,0.899,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
22,NL 2,SQ,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 1 0 0 0 0],0.9333333333333333,1.0,0.9655172413793104,0.89,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
23,NL 2,SQ,[2 2 2 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],1.0,1.0,1.0,0.891,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 20, 'n_strel': 4, 'n_redundant': 10}"
24,NL 3,FRI,"[1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.0,0.9,0.9473684210526316,0.6785599485695916,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
25,NL 3,FRI,"[1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.0,0.85,0.9189189189189189,0.6785599485695916,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
26,NL 3,FRI,"[1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]",1.0,0.85,0.9189189189189189,0.6845681738299734,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
27,NL 3,ElasticNet,"[ True  True  True  True  True False  True False  True  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False]",0.8888888888888888,0.4,0.5517241379310346,0.641,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
28,NL 3,ElasticNet,"[ True  True  True  True  True False  True False  True  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False]",0.8888888888888888,0.4,0.5517241379310346,0.641,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
29,NL 3,ElasticNet,"[ True  True  True  True  True False  True False  True  True False False
 False False False False False False False False False False False False
 False False False False False False False  True False False False False
 False False False False False False False False False False False False
 False False]",0.8888888888888888,0.4,0.5517241379310346,0.641,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
30,NL 3,RF,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True False False False  True False False  True
 False False  True False False False  True  True  True  True  True  True
 False  True False False  True False False False  True  True False False
 False  True]",0.5333333333333333,0.8,0.64,0.84,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
31,NL 3,RF,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True False False False  True False False  True
 False False  True False False False  True  True  True  True  True  True
 False  True False False  True False False False  True  True False False
 False  True]",0.5333333333333333,0.8,0.64,0.84,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
32,NL 3,RF,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True False False False  True False False  True
 False False  True False False False  True  True  True  True  True  True
 False  True False False  True False False False  True  True False False
 False  True]",0.5333333333333333,0.8,0.64,0.84,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
33,NL 3,SQ,"[2 2 2 2 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0]",0.9523809523809523,1.0,0.975609756097561,0.858,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
34,NL 3,SQ,"[2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0]",0.9523809523809523,1.0,0.975609756097561,0.859,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
35,NL 3,SQ,"[2 2 2 2 2 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0]",0.9523809523809523,1.0,0.975609756097561,0.846,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 50, 'n_strel': 10, 'n_redundant': 10}"
36,NL 4,FRI,"[1 1 0 1 0 2 0 1 2 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",1.0,0.8,0.888888888888889,0.7928904390422533,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
37,NL 4,FRI,"[1 1 0 1 0 2 0 1 2 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",1.0,0.8,0.888888888888889,0.7928904390422533,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
38,NL 4,FRI,"[1 0 0 1 0 2 0 1 2 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]",1.0,0.75,0.8571428571428571,0.7898789702868853,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
39,NL 4,ElasticNet,"[ True False False  True False  True False  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]",1.0,0.25,0.4,0.776,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
40,NL 4,ElasticNet,"[ True False False  True False  True False  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]",1.0,0.25,0.4,0.776,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
41,NL 4,ElasticNet,"[ True False False  True False  True False  True  True False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]",1.0,0.25,0.4,0.776,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
42,NL 4,RF,"[ True  True  True  True False  True  True  True  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]",1.0,0.45,0.6206896551724138,0.846,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
43,NL 4,RF,"[ True  True  True  True False  True  True  True  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]",1.0,0.45,0.6206896551724138,0.846,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
44,NL 4,RF,"[ True  True  True  True False  True  True  True  True False  True False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]",1.0,0.45,0.6206896551724138,0.846,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
45,NL 4,SQ,"[2 2 2 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0]",0.6896551724137931,1.0,0.8163265306122449,0.87,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
46,NL 4,SQ,"[2 1 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0]",0.7407407407407407,1.0,0.851063829787234,0.879,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
47,NL 4,SQ,"[2 1 1 2 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0]",0.7142857142857143,1.0,0.8333333333333333,0.881,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7FEBD2A75D10, 'n_features': 80, 'n_strel': 10, 'n_redundant': 10}"
